customer_id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration
0,67,male,2,own,NA,little,1169,6
1,22,female,2,own,little,moderate,5951,48
2,49,male,1,own,little,NA,2096,12
3,45,male,2,free,little,little,7882,42
4,53,male,2,free,little,little,4870,24
5,35,male,1,free,NA,NA,9055,36
6,53,male,2,own,quite rich,NA,2835,24
7,35,male,3,rent,little,moderate,6948,36
8,61,male,1,own,rich,NA,3059,12
9,28,male,3,own,little,moderate,5234,30
10,25,female,2,rent,little,moderate,1295,12
11,24,female,2,rent,little,little,4308,48
12,22,female,2,own,little,moderate,1567,12
13,60,male,1,own,little,little,1199,24
14,28,female,2,rent,little,little,1403,15
15,32,female,1,own,moderate,little,1282,24
16,53,male,2,own,NA,NA,2424,24
17,25,male,2,own,NA,little,8072,30
18,44,female,3,free,little,moderate,12579,24
19,31,male,2,own,quite rich,NA,3430,24
20,48,male,2,own,little,NA,2134,9
21,44,male,2,rent,quite rich,little,2647,6
22,48,male,1,rent,little,little,2241,10
23,44,male,2,own,moderate,moderate,1804,12
24,26,male,2,own,NA,NA,2069,10
25,36,male,1,own,little,little,1374,6
26,39,male,1,own,little,NA,426,6
27,42,female,2,rent,rich,rich,409,12
28,34,male,2,own,little,moderate,2415,7
29,63,male,2,own,little,little,6836,60
30,36,male,2,own,rich,moderate,1913,18
31,27,male,2,own,little,little,4020,24
32,30,male,2,own,moderate,moderate,5866,18
33,57,male,1,rent,NA,NA,1264,12
34,33,female,3,own,little,rich,1474,12
35,25,male,1,own,little,moderate,4746,45
36,31,male,2,free,little,NA,6110,48
37,37,male,2,own,little,rich,2100,18
38,37,male,2,own,little,rich,1225,10
39,24,male,2,own,little,moderate,458,9
40,30,male,3,own,quite rich,NA,2333,30
41,26,male,2,own,quite rich,moderate,1158,12
42,44,male,1,own,little,moderate,6204,18
43,24,male,2,rent,moderate,little,6187,30
44,58,female,1,free,little,little,6143,48
45,35,female,3,own,little,NA,1393,11
46,39,male,2,own,quite rich,NA,2299,36
47,23,female,0,rent,quite rich,little,1352,6
48,39,male,1,own,little,NA,7228,11
49,28,female,2,own,moderate,NA,2073,12
50,29,male,1,own,NA,moderate,2333,24
51,30,male,3,own,little,moderate,5965,27
52,25,male,2,own,little,NA,1262,12
53,31,male,2,own,NA,NA,3378,18
54,57,male,2,free,little,moderate,2225,36
55,26,male,1,own,NA,NA,783,6
56,52,male,3,own,NA,moderate,6468,12
57,31,female,2,own,little,NA,9566,36
58,23,female,3,own,little,rich,1961,18
59,23,female,1,rent,little,little,6229,36
60,27,male,2,own,little,moderate,1391,9
61,50,male,2,own,NA,moderate,1537,15
62,61,male,3,free,little,moderate,1953,36
63,25,male,2,own,little,moderate,14421,48
64,26,female,2,own,little,NA,3181,24
65,48,male,2,own,NA,NA,5190,27
66,29,female,2,own,little,NA,2171,12
67,22,male,2,own,rich,moderate,1007,12
68,37,male,2,free,little,NA,1819,36
69,25,female,2,own,NA,NA,2394,36
70,30,female,2,own,little,NA,8133,36
71,46,male,1,rent,NA,NA,730,7
72,51,male,3,free,little,little,1164,8
73,41,female,1,own,little,moderate,5954,42
74,40,male,3,own,NA,little,1977,36
75,66,male,3,free,little,little,1526,12
76,34,male,2,own,little,little,3965,42
77,51,male,2,own,little,moderate,4771,11
78,39,male,1,own,NA,NA,9436,54
79,22,male,2,own,little,moderate,3832,30
80,44,female,2,own,NA,NA,5943,24
81,47,male,2,own,quite rich,NA,1213,15
82,24,female,1,rent,moderate,NA,1568,18
83,58,female,1,own,little,little,1755,24
84,52,male,1,own,little,little,2315,10
85,29,female,3,own,little,NA,1412,12
86,27,female,2,own,little,moderate,1295,18
87,47,male,2,free,moderate,moderate,12612,36
88,30,male,3,own,moderate,little,2249,18
89,28,male,2,own,little,little,1108,12
90,56,male,2,own,little,NA,618,12
91,54,male,2,own,little,little,1409,12
92,33,female,1,own,NA,NA,797,12
93,20,male,2,rent,NA,rich,3617,24
94,54,male,2,own,rich,moderate,1318,12
95,58,male,2,rent,little,moderate,15945,54
96,61,female,2,own,NA,NA,2012,12
97,34,male,2,own,moderate,moderate,2622,18
98,36,male,2,own,little,moderate,2337,36
99,36,male,3,rent,NA,moderate,7057,20
100,41,male,1,rent,moderate,NA,1469,24
101,24,male,2,rent,little,moderate,2323,36
102,24,female,2,own,little,NA,932,6
103,35,male,2,rent,little,moderate,1919,9
104,26,male,2,rent,NA,NA,2445,12
105,39,male,3,own,little,moderate,11938,24
106,39,male,3,own,little,NA,6458,18
107,32,male,2,own,little,moderate,6078,12
108,30,female,2,own,NA,little,7721,24
109,35,male,2,own,quite rich,moderate,1410,14
110,31,male,2,own,moderate,moderate,1449,6
111,23,female,2,rent,little,rich,392,15
112,28,male,1,rent,little,moderate,6260,18
113,25,female,2,own,little,NA,7855,36
114,35,male,2,own,quite rich,little,1680,12
115,47,male,2,own,NA,NA,3578,48
116,30,female,3,own,NA,little,7174,42
117,27,female,2,rent,NA,little,2132,10
118,23,female,2,own,quite rich,little,4281,33
119,36,male,3,own,quite rich,moderate,2366,12
120,25,female,2,own,little,little,1835,21
121,41,female,3,rent,little,NA,3868,24
122,24,male,1,rent,little,NA,1768,12
123,63,male,2,free,little,rich,781,10
124,27,female,2,rent,NA,moderate,1924,18
125,30,male,2,own,little,little,2121,12
126,40,male,1,own,little,little,701,12
127,30,male,2,own,little,moderate,639,12
128,34,male,3,own,little,moderate,1860,12
129,29,female,2,own,little,little,3499,12
130,24,female,2,own,NA,moderate,8487,48
131,29,male,2,own,little,little,6887,36
132,27,male,1,own,little,NA,2708,15
133,47,male,2,free,little,NA,1984,18
134,21,female,2,own,moderate,NA,10144,60
135,38,female,2,own,NA,NA,1240,12
136,27,male,2,own,rich,NA,8613,27
137,66,male,1,own,quite rich,moderate,766,12
138,35,male,2,own,NA,moderate,2728,15
139,44,female,1,rent,little,rich,1881,12
140,27,male,0,own,rich,rich,709,6
141,30,female,3,own,little,moderate,4795,36
142,27,male,3,own,little,little,3416,27
143,22,male,2,own,little,little,2462,18
144,23,female,2,own,little,NA,2288,21
145,30,male,2,own,moderate,moderate,3566,48
146,39,female,2,own,little,little,860,6
147,51,female,2,own,moderate,NA,682,12
148,28,male,2,own,little,little,5371,36
149,46,male,2,own,rich,NA,1582,18
150,42,male,2,free,moderate,NA,1346,6
151,38,male,2,own,little,NA,1924,10
152,24,male,2,own,little,rich,5848,36
153,29,female,2,rent,rich,moderate,7758,24
154,36,male,3,rent,moderate,moderate,6967,24
155,20,female,2,rent,little,little,1282,12
156,48,male,2,own,moderate,little,1288,9
157,45,male,1,own,little,little,339,12
158,38,male,2,own,moderate,moderate,3512,24
159,34,male,1,own,NA,NA,1898,6
160,36,male,2,own,moderate,NA,2872,24
161,30,female,2,own,little,NA,1055,18
162,36,male,2,own,quite rich,NA,1262,15
163,70,male,3,free,little,moderate,7308,10
164,36,male,2,own,quite rich,NA,909,36
165,32,male,2,own,quite rich,NA,2978,6
166,33,female,2,own,little,little,1131,18
167,20,female,2,own,rich,moderate,1577,11
168,25,female,2,rent,little,NA,3972,24
169,31,male,2,own,little,moderate,1935,24
170,33,male,2,rent,little,little,950,15
171,26,female,2,own,little,NA,763,12
172,34,female,3,own,little,moderate,2064,24
173,33,male,2,own,little,moderate,1414,8
174,26,male,2,own,little,little,3414,21
175,53,female,3,own,NA,NA,7485,30
176,42,male,2,own,little,little,2577,12
177,52,male,2,own,quite rich,little,338,6
178,31,male,3,rent,little,NA,1963,12
179,65,male,2,own,little,little,571,21
180,28,male,2,own,little,NA,9572,36
181,30,male,3,own,little,moderate,4455,36
182,40,male,1,own,NA,little,1647,21
183,50,male,2,own,rich,NA,3777,24
184,36,male,2,own,little,moderate,884,18
185,31,male,2,own,little,NA,1360,15
186,74,female,3,free,little,moderate,5129,9
187,68,male,0,free,little,moderate,1175,16
188,20,male,2,own,moderate,little,674,12
189,33,female,2,own,little,moderate,3244,18
190,54,male,3,own,rich,NA,4591,24
191,34,male,1,free,moderate,moderate,3844,48
192,36,male,2,own,little,moderate,3915,27
193,29,male,2,rent,little,NA,2108,6
194,21,male,2,rent,moderate,moderate,3031,45
195,34,female,3,own,little,moderate,1501,9
196,28,female,2,own,little,NA,1382,6
197,27,female,2,rent,moderate,moderate,951,12
198,36,male,2,free,NA,moderate,2760,24
199,40,male,3,own,little,moderate,4297,18
200,52,male,2,own,quite rich,NA,936,9
201,27,male,1,own,little,little,1168,12
202,26,male,2,own,little,NA,5117,27
203,21,male,2,rent,little,little,902,12
204,38,male,1,own,little,NA,1495,12
205,38,male,3,free,little,little,10623,30
206,43,male,2,own,little,NA,1935,12
207,26,male,2,own,little,moderate,1424,12
208,21,male,1,own,little,little,6568,24
209,55,male,2,own,rich,NA,1413,12
210,33,male,2,own,NA,NA,3074,9
211,45,female,1,own,NA,NA,3835,36
212,50,male,2,own,little,little,5293,27
213,66,male,3,own,little,rich,1908,30
214,51,male,2,own,NA,NA,3342,36
215,39,female,1,own,NA,moderate,932,6
216,31,male,2,own,little,little,3104,18
217,23,male,2,own,little,rich,3913,36
218,24,male,1,rent,little,little,3021,24
219,64,female,2,own,little,NA,1364,10
220,26,male,1,own,little,moderate,625,12
221,23,female,2,rent,NA,little,1200,12
222,30,male,2,own,little,NA,707,12
223,32,male,2,own,NA,NA,2978,24
224,30,male,2,own,little,NA,4657,15
225,27,male,2,own,little,NA,2613,36
226,27,male,2,own,rich,moderate,10961,48
227,53,male,3,free,little,little,7865,12
228,22,male,2,own,little,NA,1478,9
229,22,male,2,free,little,little,3149,24
230,26,male,2,own,little,rich,4210,36
231,51,male,1,free,quite rich,NA,2507,9
232,35,male,2,own,moderate,NA,2141,12
233,25,male,1,own,little,moderate,866,18
234,42,male,1,own,little,NA,1544,4
235,30,male,3,own,little,little,1823,24
236,23,male,0,own,NA,moderate,14555,6
237,61,male,1,rent,moderate,moderate,2767,21
238,35,female,2,own,little,NA,1291,12
239,39,male,2,own,little,little,2522,30
240,29,female,2,own,NA,little,915,24
241,51,male,2,own,little,NA,1595,6
242,24,male,2,free,little,little,4605,48
243,27,female,2,own,little,NA,1185,12
244,35,female,1,own,quite rich,NA,3447,12
245,25,male,2,own,little,NA,1258,24
246,52,male,2,own,little,NA,717,12
247,35,male,2,rent,moderate,NA,1204,6
248,26,male,2,own,little,rich,1925,24
249,22,female,2,rent,little,NA,433,18
250,39,female,1,own,rich,little,666,6
251,46,female,1,own,little,rich,2251,12
252,24,female,2,own,little,moderate,2150,30
253,35,male,2,own,moderate,NA,4151,24
254,24,male,2,own,NA,moderate,2030,9
255,27,male,1,own,NA,moderate,7418,60
256,35,male,1,own,little,NA,2684,24
257,29,male,2,free,little,little,2149,12
258,23,female,2,own,moderate,NA,3812,15
259,57,female,1,own,moderate,NA,1154,11
260,27,male,2,own,little,little,1657,12
261,55,female,2,own,little,little,1603,24
262,36,male,3,free,little,little,5302,18
263,57,female,1,free,little,NA,2748,12
264,32,male,1,own,little,NA,1231,10
265,37,male,2,own,little,moderate,802,15
266,36,male,2,own,NA,NA,6304,36
267,38,female,2,own,little,NA,1533,24
268,45,male,3,own,little,little,8978,14
269,25,male,2,own,NA,NA,999,24
270,32,male,2,own,NA,NA,2662,18
271,37,female,2,rent,quite rich,NA,1402,12
272,36,male,3,free,NA,moderate,12169,48
273,28,male,2,own,little,moderate,3060,48
274,34,male,1,own,little,little,11998,30
275,32,male,2,own,little,NA,2697,9
276,26,female,2,own,little,NA,2404,18
277,49,male,1,own,NA,little,1262,12
278,32,female,2,own,little,NA,4611,6
279,29,male,3,rent,moderate,NA,1901,24
280,23,male,2,rent,rich,NA,3368,15
281,50,male,2,own,little,NA,1574,12
282,49,male,1,own,NA,rich,1445,18
283,63,male,2,own,NA,NA,1520,15
284,37,male,2,own,moderate,moderate,3878,24
285,35,female,1,own,little,little,10722,47
286,26,male,2,own,little,little,4788,48
287,31,male,3,free,moderate,moderate,7582,48
288,49,female,2,own,little,moderate,1092,12
289,48,male,2,own,little,little,1024,24
290,26,male,2,own,little,NA,1076,12
291,28,male,3,rent,little,moderate,9398,36
292,44,female,3,free,little,little,6419,24
293,56,male,2,free,little,rich,4796,42
294,46,male,3,own,NA,NA,7629,48
295,26,female,2,own,little,moderate,9960,48
296,20,female,2,rent,NA,NA,4675,12
297,45,male,1,own,NA,NA,1287,10
298,43,male,2,own,little,NA,2515,18
299,32,male,2,own,rich,moderate,2745,21
300,54,female,0,own,little,NA,672,6
301,42,female,2,own,little,moderate,3804,36
302,37,male,1,own,NA,rich,1344,24
303,49,male,2,own,little,little,1038,10
304,44,male,2,free,quite rich,NA,10127,48
305,33,male,2,own,rich,NA,1543,6
306,24,female,1,rent,NA,NA,4811,30
307,33,male,1,own,moderate,little,727,12
308,24,female,2,own,little,moderate,1237,8
309,22,male,1,rent,little,moderate,276,9
310,40,male,0,free,NA,moderate,5381,48
311,25,male,2,own,moderate,NA,5511,24
312,26,female,2,own,little,rich,3749,24
313,25,male,1,own,little,moderate,685,12
314,29,male,1,own,NA,rich,1494,4
315,31,male,2,own,little,little,2746,36
316,38,male,1,own,little,little,708,12
317,48,female,1,own,NA,moderate,4351,24
318,32,male,2,own,little,NA,701,12
319,27,female,1,own,little,little,3643,15
320,28,male,3,own,little,moderate,4249,30
321,32,male,2,own,little,little,1938,24
322,34,male,3,free,little,little,2910,24
323,28,male,2,own,rich,little,2659,18
324,36,female,2,own,little,NA,1028,18
325,39,male,1,own,little,little,3398,8
326,49,male,2,rent,NA,NA,5801,12
327,34,female,2,own,rich,NA,1525,24
328,31,male,2,own,little,rich,4473,36
329,28,male,2,own,little,moderate,1068,6
330,75,male,3,free,little,little,6615,24
331,30,female,2,own,moderate,NA,1864,18
332,24,female,3,own,moderate,moderate,7408,60
333,24,female,1,rent,moderate,NA,11590,48
334,23,male,2,rent,little,little,4110,24
335,44,male,3,rent,little,little,3384,6
336,23,female,1,own,little,moderate,2101,13
337,24,female,2,rent,NA,little,1275,15
338,28,male,2,own,little,little,4169,24
339,31,male,1,own,little,moderate,1521,10
340,24,female,2,free,little,moderate,5743,24
341,26,female,1,rent,little,little,3599,21
342,25,male,2,rent,quite rich,moderate,3213,18
343,33,male,3,own,little,moderate,4439,18
344,37,male,1,own,little,rich,3949,10
345,43,female,1,own,little,NA,1459,15
346,23,male,2,own,little,moderate,882,13
347,23,female,0,rent,quite rich,moderate,3758,24
348,34,male,1,own,moderate,NA,1743,6
349,32,male,2,free,rich,moderate,1136,9
350,23,female,2,rent,little,NA,1236,9
351,29,female,2,own,little,moderate,959,9
352,38,male,3,own,NA,NA,3229,18
353,28,male,2,rent,little,little,6199,12
354,46,male,2,free,quite rich,NA,727,10
355,23,male,1,own,little,moderate,1246,24
356,49,male,2,own,NA,NA,2331,12
357,26,male,3,own,little,NA,4463,36
358,28,male,2,own,little,NA,776,12
359,23,female,2,rent,little,little,2406,30
360,61,male,2,free,NA,moderate,1239,18
361,37,male,3,own,NA,rich,3399,12
362,36,female,2,own,little,rich,2247,12
363,21,male,2,rent,little,NA,1766,6
364,25,male,0,own,little,little,2473,18
365,36,male,2,own,little,NA,1542,12
366,27,male,2,own,little,NA,3850,18
367,22,female,2,rent,little,little,3650,18
368,42,male,2,own,little,little,3446,36
369,40,female,2,rent,little,moderate,3001,18
370,36,male,2,own,NA,NA,3079,36
371,33,male,2,own,little,NA,6070,18
372,23,female,2,rent,little,NA,2146,10
373,63,male,3,free,NA,NA,13756,60
374,60,female,3,free,moderate,moderate,14782,60
375,37,female,2,rent,little,little,7685,48
376,34,male,2,own,little,NA,2320,18
377,36,male,2,free,NA,NA,846,7
378,57,male,3,free,little,moderate,14318,36
379,52,female,1,own,moderate,NA,362,6
380,39,male,2,own,NA,little,2212,20
381,38,female,3,free,little,moderate,12976,18
382,25,female,2,rent,NA,NA,1283,22
383,26,male,2,own,little,rich,1330,12
384,26,male,1,own,moderate,NA,4272,30
385,25,female,2,own,little,NA,2238,18
386,21,female,2,rent,NA,NA,1126,18
387,40,male,3,own,little,moderate,7374,18
388,27,male,2,own,quite rich,moderate,2326,15
389,27,female,2,own,little,NA,1449,9
390,30,male,3,own,little,NA,1820,18
391,19,female,1,rent,rich,moderate,983,12
392,39,male,3,free,little,little,3249,36
393,31,female,2,own,little,little,1957,6
394,31,male,3,own,little,NA,2406,9
395,32,male,2,rent,moderate,moderate,11760,39
396,55,female,3,free,little,little,2578,12
397,46,male,2,own,little,little,2348,36
398,46,male,2,rent,little,moderate,1223,12
399,43,female,1,own,rich,NA,1516,24
400,39,male,2,own,little,NA,1473,18
401,28,male,2,own,NA,moderate,1887,18
402,27,male,2,own,little,NA,8648,24
403,27,male,1,own,little,NA,802,14
404,43,male,2,own,NA,moderate,2899,18
405,22,male,2,own,little,moderate,2039,24
406,43,male,2,own,NA,NA,2197,24
407,27,male,2,own,little,little,1053,15
408,26,male,3,own,quite rich,NA,3235,24
409,28,male,2,own,quite rich,rich,939,12
410,20,female,2,own,little,moderate,1967,24
411,35,male,3,own,little,NA,7253,33
412,42,male,3,own,little,NA,2292,12
413,40,male,1,rent,quite rich,NA,1597,10
414,35,female,2,own,NA,little,1381,24
415,35,male,2,own,little,NA,5842,36
416,33,male,1,own,little,little,2579,12
417,23,female,2,rent,NA,little,8471,18
418,31,female,3,own,quite rich,NA,2782,21
419,33,female,2,own,NA,moderate,1042,18
420,20,female,2,rent,rich,NA,3186,15
421,30,male,2,own,NA,moderate,2028,12
422,47,male,1,own,little,moderate,958,12
423,34,male,3,own,moderate,NA,1591,21
424,25,female,2,own,NA,moderate,2762,12
425,21,male,2,rent,little,moderate,2779,18
426,29,male,2,own,little,NA,2743,28
427,46,male,2,own,rich,NA,1149,18
428,20,male,2,own,little,NA,1313,9
429,55,female,0,free,little,little,1190,18
430,74,male,1,own,little,NA,3448,5
431,29,male,3,own,little,moderate,11328,24
432,36,male,3,free,little,little,1872,6
433,33,male,2,own,little,NA,2058,24
434,25,male,2,own,little,little,2136,9
435,25,male,2,own,NA,moderate,1484,12
436,23,male,1,rent,quite rich,NA,660,6
437,37,female,2,own,rich,NA,1287,24
438,65,male,0,own,little,little,3394,42
439,26,female,0,own,little,rich,609,12
440,39,male,3,own,little,NA,1884,12
441,30,female,2,own,little,little,1620,12
442,29,male,2,own,little,moderate,2629,20
443,41,male,1,own,little,NA,719,12
444,30,female,3,own,little,moderate,5096,48
445,41,female,1,rent,NA,NA,1244,9
446,34,female,2,own,little,little,1842,36
447,35,male,2,own,little,moderate,2576,7
448,55,female,3,own,NA,rich,1424,12
449,61,male,2,own,rich,moderate,1512,15
450,30,male,3,own,NA,NA,11054,36
451,29,female,2,own,little,NA,518,6
452,34,male,2,own,little,NA,2759,12
453,35,male,3,own,little,NA,2670,24
454,31,male,2,own,little,little,4817,24
455,29,female,3,own,little,NA,2679,24
456,36,male,2,rent,little,little,3905,11
457,35,male,2,free,little,little,3386,12
458,27,female,2,own,little,little,343,6
459,32,male,2,own,little,NA,4594,18
460,37,male,2,own,little,little,3620,36
461,36,male,2,own,little,little,1721,15
462,34,female,3,rent,little,moderate,3017,12
463,38,male,2,own,NA,moderate,754,12
464,34,male,2,own,little,NA,1950,18
465,63,male,2,own,little,little,2924,24
466,29,female,1,rent,little,little,1659,24
467,32,male,2,own,NA,NA,7238,48
468,26,female,2,own,little,NA,2764,33
469,35,male,1,own,little,NA,4679,24
470,22,male,2,rent,moderate,moderate,3092,24
471,23,female,2,own,little,little,448,6
472,28,male,1,own,little,little,654,9
473,36,male,3,own,NA,NA,1238,6
474,33,male,2,own,little,moderate,1245,18
475,26,female,2,rent,little,little,3114,18
476,24,male,2,own,quite rich,NA,2569,39
477,25,male,2,own,little,rich,5152,24
478,39,male,1,own,moderate,moderate,1037,12
479,44,male,2,own,little,little,1478,15
480,23,female,1,own,little,moderate,3573,12
481,26,male,2,own,little,moderate,1201,24
482,57,female,2,rent,rich,little,3622,30
483,30,female,2,own,rich,NA,960,15
484,44,male,2,own,quite rich,NA,1163,12
485,47,male,3,own,little,moderate,1209,6
486,52,male,2,own,little,NA,3077,12
487,62,female,2,free,little,NA,3757,24
488,35,male,1,rent,moderate,NA,1418,10
489,26,male,2,rent,little,NA,3518,6
490,26,male,2,own,little,NA,1934,12
491,42,female,3,free,little,moderate,8318,27
492,27,female,2,own,moderate,NA,1237,6
493,38,male,2,own,NA,moderate,368,6
494,39,male,1,rent,little,little,2122,12
495,20,male,2,own,NA,little,2996,24
496,29,male,3,rent,moderate,moderate,9034,36
497,40,male,2,own,little,NA,1585,24
498,32,male,1,own,little,moderate,1301,18
499,28,male,2,own,moderate,rich,1323,6
500,27,female,2,own,little,little,3123,24
501,42,male,2,free,little,little,5493,36
502,49,male,2,own,moderate,rich,1126,9
503,38,male,2,own,moderate,moderate,1216,24
504,24,female,2,rent,little,little,1207,24
505,27,male,1,own,NA,NA,1309,10
506,36,male,2,own,quite rich,rich,2360,15
507,34,male,3,own,moderate,moderate,6850,15
508,28,male,2,own,little,NA,1413,24
509,45,male,3,own,moderate,NA,8588,39
510,26,male,2,own,little,little,759,12
511,32,male,3,free,little,NA,4686,36
512,26,male,2,rent,little,rich,2687,15
513,20,male,2,rent,little,moderate,585,12
514,54,male,2,own,NA,NA,2255,24
515,37,female,2,own,little,little,609,6
516,40,male,1,own,little,little,1361,6
517,23,female,2,rent,little,NA,7127,36
518,43,male,2,own,moderate,little,1203,6
519,36,male,2,free,NA,NA,700,6
520,44,male,2,free,little,NA,5507,24
521,24,female,2,own,little,little,3190,18
522,53,male,2,free,little,little,7119,48
523,23,female,2,own,moderate,NA,3488,24
524,26,female,1,own,little,moderate,1113,18
525,30,male,2,own,little,moderate,7966,26
526,31,female,2,own,moderate,NA,1532,15
527,42,male,1,own,little,NA,1503,4
528,31,male,2,rent,little,little,2302,36
529,41,male,1,own,little,little,662,6
530,32,male,2,own,little,moderate,2273,36
531,28,female,2,rent,moderate,moderate,2631,15
532,41,male,2,rent,little,NA,1503,12
533,26,male,2,own,moderate,NA,1311,24
534,25,male,2,own,NA,NA,3105,24
535,33,male,2,rent,little,rich,2319,21
536,75,female,3,own,NA,little,1374,6
537,37,female,2,own,little,moderate,3612,18
538,42,male,3,free,little,little,7763,48
539,45,female,1,own,little,rich,3049,18
540,23,male,2,rent,little,moderate,1534,12
541,60,male,2,free,little,NA,2032,24
542,31,male,2,own,NA,little,6350,30
543,34,male,1,own,little,rich,2864,18
544,61,male,1,own,little,NA,1255,12
545,43,male,2,free,little,little,1333,24
546,37,female,2,own,little,NA,2022,24
547,32,male,2,own,little,NA,1552,24
548,24,female,1,own,little,little,626,12
549,35,male,2,free,NA,NA,8858,48
550,23,female,2,own,NA,NA,996,12
551,45,male,1,own,quite rich,NA,1750,6
552,34,male,2,own,little,little,6999,48
553,27,male,2,own,moderate,moderate,1995,12
554,67,female,3,own,little,moderate,1199,9
555,22,male,2,own,little,moderate,1331,12
556,28,female,2,own,moderate,moderate,2278,18
557,29,female,2,own,NA,NA,5003,21
558,27,male,2,own,little,little,3552,24
559,31,male,1,own,little,moderate,1928,18
560,49,male,2,free,NA,little,2964,24
561,24,male,1,rent,little,little,1546,24
562,29,female,2,own,little,rich,683,6
563,37,male,2,free,NA,moderate,12389,36
564,37,male,3,own,NA,moderate,4712,24
565,23,female,2,rent,moderate,moderate,1553,24
566,36,male,2,own,little,little,1372,12
567,34,male,2,own,rich,NA,2578,24
568,41,male,2,own,NA,moderate,3979,48
569,31,female,2,own,little,little,6758,48
570,23,female,1,rent,little,little,3234,24
571,38,male,2,own,little,NA,5954,30
572,26,female,3,rent,NA,NA,5433,24
573,22,female,1,own,little,little,806,15
